№;Масса заготовки, г;Длина заготовки, мм;Угол левый, гр;Угол правый, гр;Угол центральный, гр;Расстояние от оси гиба до плоскости симметрии, мм;Радиус левый, мм;Радиус правый, мм;Масса удельная, г;Частота, Гц;Чувствительность, мм;Масса воды, г;Время ввода в базу
_id;M;l;L;R;C;A;RL;RR;MM;Freq;Def;m;createTime.text
7М01;33,97225779842403;460,67;48,26;48,06;173,82;84,99;14,6;14,92;15,65;93,36622097484242;0,006239157408733647;0,0011401079317731812;11:23:33 22-12-2017
7М66;34,13262092482787;460,41;48,9;48,67;173,96;84,93;15,37;14,57;15,715;92,91458871961152;0,005934159951774028;0,0011289577283143234;11:31:24 22-12-2017
7М11;34,11212923958831;460,54;48,53;48,88;174,02;85;15,44;14,36;15,71;92,99916529886457;0,006023662659079106;0,0011304687974460733;11:45:28 22-12-2017
7М42;34,014934444733875;460,68;48,72;48,18;174,15;85,05;14,7;14,99;15,67;93,26346351113412;0,006094107776573935;0,0011370392975268043;10:1:30 25-12-2017
7М22;33,93233066388871;460,77;48,82;48,52;174,12;85,06;15,05;14,69;15,635;93,02873714938815;0,006074124656837217;0,0011408008895250634;10:2:1 25-12-2017
7М40;33,87822533313045;460,03;47,62;48,82;174,24;85,09;14,98;14,5;15,585;93,49943877707832;0,006235607983364576;0,0011450933435958957;10:2:26 25-12-2017
7М27;33,96603396603397;460,46;48,3;49,03;174,18;85,1;15,53;14,34;15,64;93,02797512676351;0,005984429968193041;0,0011399527962852934;10:3:29 25-12-2017
7М26;34,06894154955582;460,39;48,45;48,41;174,04;85,08;15,1;14,7;15,685;93,18638221610937;0,006032670663860909;0,00113523765593627;10:4:8 25-12-2017
7М23;34,02010377542824;460,61;48,56;48,46;173,81;84,94;15,28;14,76;15,67;93,00732200865272;0,005900745883823167;0,0011376482002605794;10:4:49 25-12-2017
7М31;34,01242343946831;460,42;48,12;48,02;173,93;84,96;14,75;15,08;15,66;93,47541274729923;0,006024925733811109;0,001139465934623605;10:5:6 25-12-2017
7М41;33,89554571502996;460,68;48,04;47,84;173,79;85;14,55;15,11;15,615;93,48500775476158;0,0061633855023050825;0,001146477110599924;10:5:22 25-12-2017
7М74;34,1503658192397;460,61;48,26;48,57;173,82;84,9;15,37;14,71;15,73;93,13536133528268;0,0058582140201497105;0,0011307010374683535;10:5:53 25-12-2017
7М61;34,03806874972839;460,22;48,09;48;174,08;85,11;14,67;15,1;15,665;93,5154868955979;0,006054308880887184;0,0011392127962641498;10:6:9 25-12-2017
7М55;33,993872628902935;460,23;48,49;48,12;174,18;85,09;14,92;14,95;15,645;93,34160425257411;0,005982348174865501;0,0011403261565251913;10:6:21 25-12-2017
7М24;33,93493180436104;460,44;47,96;48,11;173,79;84,93;14,89;14,96;15,625;93,41843163242098;0,006033670249610281;0,0011439913074237451;10:6:45 25-12-2017
7М05;34,15603021620213;460,68;48,33;48,03;173,78;84,84;15,01;14,98;15,735;93,36176212265805;0,005915909818914956;0,0011306717311741544;10:6:59 25-12-2017
7М78;34,06400034759184;460,31;48,65;48,03;174,16;85,02;14,82;15,14;15,68;93,33840293398684;0,005915160470555169;0,0011359856714470967;10:7:12 25-12-2017
7М03;34,11583313427002;460,49;48,71;47,85;173,73;84,89;14,79;15,13;15,71;93,2233711216624;0,00597289206107896;0,0011326107962230188;10:7:47 25-12-2017
7М62;33,81123058542413;460,35;47,99;47,89;173,85;85,03;14,6;15,1;15,565;93,47913282924183;0,0061424746037319474;0,001151559855416375;10:8:2 25-12-2017
7М77;34,16465889605175;460,71;48,71;48,25;174,12;85,13;15,47;14,34;15,74;93,18088750700386;0,006010721930530187;0,0011300762197009383;10:8:33 25-12-2017
7М12;33,90971890341921;460,34;48,26;48,36;173,9;84,94;14,99;14,95;15,61;93,22613089544298;0,005966921415847845;0,0011442158056633768;10:8:49 25-12-2017
7М64;34,04255319148936;460,6;49,01;48,88;174,32;85,22;15,23;14,5;15,68;92,84898538876278;0,0060568810315163035;0,001134446527379863;10:9:17 25-12-2017
7М04;34,12176103907387;460,41;48,17;48,35;173,84;48,93;15,29;14,84;15,71;114,36328316452159;0,003392433629740955;0,000747954751474107;10:9:32 25-12-2017
7М18;34,0469883180614;460,54;47,7;48,61;173,88;84,97;14,99;14,89;15,68;93,3655612018857;0,005995292734993462;0,0011375232602807007;10:9:48 25-12-2017
7М75;33,82020518170753;460,08;48,87;48;173,34;84,98;14,63;15;15,56;92,80002868365243;0,006235448486893915;0,0011482954992292258;10:10:4 25-12-2017
7М49;33,376764386536365;460,5;49,79;48,75;174,05;85,06;15,28;14,51;15,37;92,36216734827984;0,006105716009370882;0,0011683942144713874;10:10:43 25-12-2017
7М08;34,02402206728785;460,41;48,53;48,56;174,06;85,26;14,91;14,61;15,665;93,0400924751687;0,006224414492567457;0,0011375354502739378;10:11:1 25-12-2017
7М39;33,80945145114724;460,67;48,47;47,67;173,77;85,03;14,88;14,95;15,575;93,296829933159;0,006068354788396373;0,0011517402558164438;10:11:16 25-12-2017
7М68;33,978896174388815;460,58;47,95;47,76;173,98;84,92;14,56;15,25;15,65;93,70652658555885;0,006033957337741515;0,0011419137483245313;10:11:29 25-12-2017
